start	end	text
102400	105840	Est-ce que la sonothérapie est une thérapie existante et reconnue ?
106600	110440	Dans cette vidéo, Joyca expose donc à ses 6 millions d'abonnés
110440	113940	huit thérapies qu'il présente comme des, je cite,
114160	118120	« vraies thérapies » ou des « thérapies existantes et reconnues ».
118120	122700	Eh bien, on va regarder ça de plus près à travers trois exemples de « vraies thérapies »
122700	125260	qui viennent de bénéficier d'une sacrée publicité.
125520	127840	On va tester la sylvothérapie aujourd'hui avec Marie-Sophie.
127880	132720	Et en fait, on va venir masser le visage sur des points qui sont énergétiques.
133020	137260	On est resté comme ça pendant dix minutes, en totale connexion avec les arbres.
137860	139580	Et vous savez quoi ?
139580	140400	ça nous a fait du bien.
142020	144120	Et voilà, l'arbre a accepté notre invitation.
144620	147340	Alors, première thérapie vraie et reconnue,
147680	148840	la sylvothérapie.
152540	154220	Alors non, pas la danse de forêt,
154360	155720	la sylvothérapie.
155860	157400	Alors qu'est-ce que c'est que cette thérapie ?
157400	158000	Eh bien c'est ça.
158140	159700	L'arbre est un être vivant et tout comme nous,
159700	161740	il possède un biochamp,
162300	163260	une bulle énergétique.
163420	166640	J'établis la connexion depuis le ciel.
166820	168420	Vous rentrez en contact avec lui.
168420	170640	Je vais rentrer en contact avec une membrane.
170880	172020	Cette membrane est ici.
172700	174720	C'est comme un sas, comme un mur invisible.
175020	175920	Non mais je connais, oui oui.
175940	177380	Moi je ne connais pas, ça sert à quoi ?
177380	178100	C'est les énergies.
178360	181580	Mais c'est vrai que c'est connu que les arbres dégagent des choses.
181800	184300	L'arbre se met à me donner des informations.
184580	187740	Déjà là, je suis en train de me recharger énergétiquement.
187960	191060	Donc l'énergie de l'arbre va passer par ta main gauche,
191140	193360	va circuler partout dans ton corps, ressortir par la main droite.
193360	197640	Je vais faire une petite démonstration d'une approche
197640	203020	Voilà la sylvothérapie en action. Alors ça s'inspire largement du Shinri-nyoku,
203020	207120	la pratique du bain de forêt qui a été développé au Japon dans les années 80,
207120	212700	ça s'est ensuite pas mal diffusé dans le monde, et ça donne donc en France la sylvothérapie.
212700	228200	Bon, alors est-ce que les arbres ont des membranes énergétiques invisibles autour d'eux avec
228200	232340	lesquelles on peut se connecter ? Est-ce que tout ça est vrai et reconnu, comme la vidéo
232340	233760	de Joyka le laisse entendre ?
233760	238080	Pff, non mais l'absence de suspense dans mes vidéos, c'est un truc de fou, franchement
238080	239080	ça me saoule.
239080	242280	Faut vraiment que je trouve un bon bruitage de suspense là pour tenir un peu le spectateur
242280	250600	haleine c'est nul moyen à voilà là on sent le suspense bon alors est-ce que les arbres ont
250600	255780	des membranes énergétique invisible autour d'eux avec lesquels on peut se connecter est-ce que tout
255780	264680	ça est vrai et reconnu comme la vidéo de joyca le laisse entendre ouais bon c'est trop long ça
264680	270340	me saoule a évidemment évidemment non ce n'est ni reconnu ni vrai c'est du méga bullshit je sais
270340	271660	Ça vous est extrêmement surpris.
271820	276600	Bon, en réalité, c'est pas juste du bullshit gentillet, genre danse de forêt de Josiane Pichet.
277520	284280	Non, la sylvothérapie, là où c'est un peu moins gentillet, c'est que c'est un bullshit qui a presque toujours des prétentions médicales.
284360	288660	Si t'as des petits problèmes à l'intérieur, le foie, les reins, tout ça, ça va travailler aussi.
288820	290080	C'est le côté détox du boulot.
290080	295680	Cet arbre maître a une particularité qui fait que c'est un arbre médecin.
295820	299520	Pendant plus de dix minutes, j'ai posé mon visage sur le chêne.
299520	302540	Le soir même, la douleur avait disparu.
302580	306360	Ça va améliorer ton immunité, ça augmente ta guérison tout court.
306620	309200	Imaginons que moi je vienne sur le châtaignier, j'ai un problème au foie,
310020	312700	et bien il va me rendre une sensation uniquement là, pas ailleurs.
312860	315740	Bon bah merci à BFM Île-de-France pour ce petit tips.
315940	316840	Siens-tu fait !
316840	319680	Aller voir son châtaignier pour obtenir un diagnostic.
320100	320680	Sympa le tips.
320820	323400	D'ailleurs moi je fais pareil, quand je rentre de l'hôpital avec une radio,
323580	326620	je pars direct en forêt pour recueillir l'avis des spécialistes.
326620	329060	Donc je vous montre comment ça se passe, on prend sa radio comme ça,
329060	330680	Et puis on va prendre des infos
330680	333460	On frotte un petit peu
333460	334100	On prend des avis
334100	336760	On va pas hésiter à prendre différents avis
336760	338480	On consulte
338480	341120	Et ensuite on regarde le résultat
341120	343520	Là typiquement le spécialiste a laissé un petit bout de mousse
343520	344260	A cet endroit là
344260	347260	Donc ça va correspondre à une petite zone pathogène
347260	349080	A confirmer avec un autre spécialiste
349080	351440	Alors le lierre aussi peut avoir son mot à dire
351440	354400	Donc on tapote comme ça sur le lierre
354400	355640	Pour avoir son expertise
355640	359040	Ah oui, bon alors dans ces cas là c'est mauvais signe
359040	360980	Quand vous avez un bourgeon planté dans la vertèbre
360980	362720	Bon bah là faut pas hésiter à consulter un chaman
362720	366160	Allez, autre thérapie présentée dans la vidéo de Joyca
366160	368400	Comme une vraie thérapie reconnue
368400	369720	La sonothérapie
369720	372120	En tout cas il est temps de découvrir la sonothérapie
372120	374900	Donc ça fait très longtemps que l'être humain se fait du bien avec les vibrations
374900	377580	On appelle ça la sonothérapie mais aussi la vibraponcture
377580	379520	C'est à dire l'acupuncture des vibrations
379520	381680	Donc en fait les vibrations quand elles rentrent en action
381680	383540	Ça va faire vibrer toute l'eau à l'intérieur
383540	386200	Ce qui a pour effet de calmer le rythme cellulaire.
386320	389280	Les fréquences rentrent dans les méridiens et vont trouver où il y a des nœuds et des nouées.
394520	397680	Un jour de pleine lune, les gonges lunaires vont sonner complètement différemment.
397700	398200	Ah ouais ?
398200	398940	Ah oui, oui, c'est vivant.
398960	399520	C'est dingue ça.
399620	400240	Eh ouais, c'est dingue.
400380	404900	Mais attention, c'est dingue, c'est impressionnant, mais ce n'est pas de la charlatanerie.
405060	409320	Ça, le sonothérapeute en question, il se sent obligé de le préciser souvent en interview.
409580	411540	Bon, moi je précise toujours parce que c'est très important.
411540	413280	On n'est pas du tout dans de la charlatanerie.
413540	414220	Oui, oui, oui.
414380	415980	Voilà, c'est une précision importante.
416340	419120	D'ailleurs, ce sonothérapeute mis en avant par Joyka,
419300	422620	il a un site internet assez important dans le milieu de la sonothérapie
422620	424700	qui s'appelle Zen & Sounds.
424700	428580	Et tout en bas de son site, comme tous les thérapeutes du web,
428940	429840	il précise bien
429840	434320	« En aucun cas, le sonothérapeute ne se substitue à votre médecin traitant
434320	437280	ou à un spécialiste en cas de problème médical. »
437280	439960	Bon, sur cette même page, une ligne plus haut,
440240	443100	le sonothérapeute fait de la pub pour un livre qui s'appelle
443100	447600	le pouvoir guérisseur du son, guérir de maladies potentiellement mortelles
447600	449920	en utilisant le son, la voix et la musique.
450080	451220	Voilà, mais bon, c'est un petit détail.
451380	453580	Tu peux nous le faire entendre, celui-là, par exemple ?
453580	462020	Alors, ce qu'il vient de faire vibrer, là, le sonothérapeute, c'est un diapason.
462020	465480	Vous savez, c'est ce petit instrument qui sert à la base à donner le « là »
465480	467180	pour accorder les instruments de musique.
467500	470800	Sauf qu'en sonothérapie, apparemment, le diapason sert à autre chose.
470800	476800	On a créé un protocole bas-ventre qui peut servir pour également des problèmes de fertilité.
476940	479540	On va activer les diapasons et les faire passer sur le bas-ventre.
479700	480540	Alors on longe les trompes.
480760	481800	Attends, quoi ?
483220	487320	Carrément, carrément, on peut carrément utiliser le son des diapasons
487320	489880	pour gérer les problèmes d'infertilité féminine.
490080	490480	Ah d'accord.
490780	494420	Alors là, le monsieur, c'est un sonothérapeute qui fait aussi partie de la même équipe,
494520	495820	l'équipe Zen & Sounds.
496020	498820	On va pouvoir l'utiliser par exemple autour d'une cicatrice
498820	502300	pour redonner la formation au tissu de venir se ressouder.
502920	506280	Et puis c'est un diapason qui va pouvoir être utilisé en glycée aussi
506280	508700	pour travailler sur le ventre, par exemple,
508800	510380	pour tout ce qui peut être problème de digestion,
510820	514100	un peu plus bas pour ce qui peut être problème gynécologique, par exemple.
516780	518420	Aïe, aïe, aïe, aïe, aïe, aïe, aïe.
518580	521420	On a un 32 Hertz ici qui est un spécialiste des circulations,
521800	523360	lymphatiques, sanguines, énergétiques.
523620	525740	Très bon pour les jambes lourdes, pour la rétention d'eau,
526000	527560	pour les flébites, pour des choses comme ça.
527560	529740	Il y a des gens qui viennent chercher ça uniquement pour ça
529740	532680	Ok donc soigner des flébites, corriger l'infertilité
532680	534860	Et régler les problèmes gynéco avec des sons
534860	536080	Ça c'est bon c'est validé
536080	538340	Par contre la charlatanerie ça c'est non
538340	540480	Bon moi je précise toujours parce que c'est très important
540480	542220	On n'est pas du tout dans de la charlatanerie
542220	545020	Non mais c'est important parce qu'il y a des gens qui font n'importe quoi avec ça
545020	548360	Je vois pas du tout de qui tu veux parler là
548360	551460	Non mais franchement des études scientifiques
551460	553860	Qui prouvent que l'asnothérapie est efficace
553860	555880	Contre les flébites et l'infertilité
555880	557060	Il y en a un paquet
557060	559420	Il y en a un paquet...
559420	563880	Enfin, ouais, j'avais vu un jour une photo sur Facebook qui disait que ça marchait.
564180	565640	Blague à part, c'est chaud.
565980	567500	La flébite, par exemple, c'est sérieux.
567680	572620	Son autre doux nom dans le langage médical, c'est la thrombose veineuse profonde.
572840	576900	Et si c'est pas correctement soigné, ça peut dans certains cas déboucher sur une embolie pulmonaire.
577080	580000	Et le mec prétend tranquillement soigner ça avec sa note de musique.
580220	581520	Mais t'as l'air de rien, t'es un enculé !
581520	586320	D'ailleurs, j'ai voulu vérifier cette dinguerie et j'ai envoyé un mail à l'équipe de ce sonothérapeute.
586320	590340	Bonjour chère équipe de Zen & Sounds, j'aurais une petite question à vous poser.
590700	594400	J'ai une flébite profonde dont je n'arrive pas à me débarrasser depuis quelques semaines.
594660	600520	J'ai cru comprendre que le massage sonore pouvait apporter une solution à ce genre de problème, est-ce bien le cas ?
600520	607240	Alors je précise, le massage sonore c'est la prestation durant laquelle ils vont justement utiliser ces fameux diapasons thérapeutiques.
607520	611540	Merci beaucoup pour votre aide dans l'attente de pouvoir venir vous voir, belle journée, Anne.
611900	613340	Réponse des sonothérapeutes
613340	624700	« Bonjour Anne, merci pour votre message. Le massage sonore pourra effectivement vous soulager car nos soins de sonothérapie agissent sur le plan circulatoire, tant d'un point de vue physique qu'énergétique.
625020	632840	Au début de la séance, n'hésitez pas à préciser au sonothérapeute qui vous recevra votre problématique afin qu'il axe la séance sur ce point précis.
632840	640080	Donc effectivement, cette thérapie vraie et reconnue présentée aux 3 millions de spectateurs de Joyca n'est pas de la charlatanerie.
640300	645380	Tout simplement parce que le charlatanisme, ça concerne en théorie les médecins qui vendent des remèdes bidons.
645760	649480	Non, ici on serait plutôt dans de l'exercice illégal de la médecine.
649680	650000	C'est chaud.
650640	657080	Allez, troisième et dernier exemple de thérapie vraie et reconnue présentée dans la vidéo de Joyca, le rebirth.
657380	661060	Pour cette prochaine thérapie, pourquoi pas renaître tout simplement.
661220	661640	Namasté.
661860	662280	Encore toi.
662280	666000	Aujourd'hui, nouveau jour, nouvelle thérapie, on va tester la thérapie Rebirth.
666320	671540	Alors ma thérapie, elle consiste à faire de la respiration et éventuellement de faire une renaissance,
671720	674720	donc de revivre, mais c'est surtout de renaître à soi-même à chaque instant.
675160	676600	On est en train de naître actuellement.
676980	680380	Et moi, ce que j'ai envie de vous proposer, c'est qu'on aille explorer votre naissance.
680580	682940	Pendant toute cette séance, vous allez respirer par la bouche.
683100	687120	J'inspire, je prends de l'air en grand, j'inspire, je dis oui à la vie.
687280	689560	Alors cette fabuleuse thérapie, elle a plusieurs noms.
689560	693320	On peut l'appeler le rebirth ou le rebirthing, qui veut dire renaissance,
693480	695380	ou encore la thérapie breastwork.
695600	696700	Tout ça, c'est la même chose.
696960	701820	Alors ici, la thérapeute les a mis sous un plaid pour simuler la naissance et la renaissance,
702040	703240	mais ça, c'est facultatif.
703520	708260	Le truc le plus important dans cette thérapie, c'est la respiration.
708480	713040	Toujours avec cette respiration, j'inspire et je propose de prendre encore plus d'air.
713160	715660	J'inspire, je relâche.
715820	718740	Je vous invite à venir prendre encore plus d'air avec l'inspire.
718740	721460	J'inspire, je relâche
721460	723240	C'est ça, continuez comme ça
723240	724780	J'inspire, je relâche
724780	725960	Je t'invite à mettre plus d'air
725960	728460	Et à rester en contact avec votre respiration
728460	729740	Tu dois prendre de l'air
729740	731540	Je t'invite à venir prendre encore plus d'air
731540	732480	Si c'est possible
732480	734740	Je t'invite à venir prendre encore plus d'air
734740	736560	Je t'invite à respirer encore plus
736560	738860	Putain ça m'a fatigué là, même moi je suis essoufflé là
738860	740480	Bon alors si vous avez toujours pas capté
740480	743280	En thérapie Rebirth, on respire
743280	745080	Mais alors on respire pas n'importe comment
745080	746820	Non non, on respire beaucoup
746820	748900	vraiment beaucoup et frénétiquement.
749120	752980	On peut trouver pas mal de tutos sur internet de professionnels de cette thérapie
752980	754260	qui nous montrent comment faire.
754400	757860	C'est des respirations circulaires sans pause entre l'inspire et l'expire.
771500	773740	Mais pourquoi respirer de la sorte ?
773740	777260	Eh bien, ça nous permettrait, entre autres, de revivre notre naissance,
777480	779840	de se souvenir de notre toute petite enfance
779840	782540	et de guérir des blessures et des traumatismes
782540	784780	qui seraient enfouis dans notre inconscient.
784940	785640	Oui, c'est logique.
792780	797120	Le breastwork, cette pratique qui concilie science et spiritualité
797120	798660	à travers votre souffle.
798840	800540	Ouais, ouais, bien sûr, bien sûr.
800540	802740	Bon, qu'est-ce qui se passe quand on demande aux gens
802740	805540	de respirer comme des porcs pendant 20 minutes sans s'arrêter,
805740	807960	ça s'appelle de l'hyperventilation.
808180	813220	Et ça peut déboucher sur des crampes, des crises d'angoisse, de la tétanie, des crises de spasmophilie.
813420	818000	Mais pour les professionnels du Rebirth, tout ça, c'est le signe que tout se passe comme prévu.
818120	819480	Voilà ce que les thérapeutes écrivent.
819800	824900	Certaines personnes peuvent souffrir de tétanie, de crampes ou de spasmes musculaires dans les mains,
825080	830900	les pieds ou le visage, liés à des énergies bloquées par la colère provoquée par des traumatismes passés.
830900	832720	C'est magique, hein ?
832720	833840	Oh putain !
833840	834700	C'est magique, hein ?
834700	836900	On prend les symptômes de l'hyperventilation
836900	841300	et on les transforme en preuve d'efficacité de ce bullshit énergétique.
841640	842040	Sublime.
842220	843560	Mais t'as l'homme de rien, t'es un enculé !
843560	847200	Alors en France, une des papesses du Rebirth, c'est Suzanne Houbary,
847520	850220	et elle propose sur son site un accompagnement d'un an
850220	851640	pour avoir droit à, je cite,
851780	854100	« une guérison profonde à 11 000 euros ».
854100	855680	Et bien sûr, avec cette thérapie aussi,
855900	858040	on a droit aux prétentions médicales.
858280	859420	Renforce l'immunité.
859860	862480	Facilite le processus de désintoxication.
862720	865720	améliore le fonctionnement de tous les organes.
865720	869920	Alors, est-ce que cette thérapie présentée par Joyca est vraie et reconnue ?
869920	870920	Et bien oui.
870920	875380	Et oui, elle est reconnue par la mi-vilu de l'organisme d'État qui lutte contre
875380	881080	les dérives sectaires, qui qualifie le rebirth de, je cite, "thérapie alternative problématique",
881080	884400	notamment à cause des potentielles inductions de faux souvenirs.
884400	890760	Et à ce moment-là, au cours d'une de ces respirations, je me suis revue à l'âge de 4 ans,
891660	900140	complètement terrorisée sous un meuble, parce que j'avais vu quelque chose qu'un adulte avait fait,
900140	907480	et lui m'avait dit que je ne devais révéler à qui que ce soit ce que j'avais vu sous peine de mort.
907960	909500	Et attendez, l'histoire n'est pas terminée.
909500	916880	Les thérapeutes en Rebirth s'appuient tous sur le travail de Léonard Orr, qui est l'homme qui a inventé cette thérapie dans les années 60.
916880	942500	Donc Léonard Or c'est lui, c'est le gourou qui a inventé le rebirth, c'est un homme
942500	947000	qui prend la Bible pour un livre d'histoire et qui croit notamment à l'immortalité.
947000	968660	Voilà, donc le mec a rencontré des humains qui avaient 2000 ans apparemment, il avait
968660	973880	d'ailleurs fondé le club des amis des immortels et pour une cotisation annuelle de 3000 dollars
973880	980060	vous pouviez avoir la chance de faire partie de ce club dans ce livre immortalité physique la
980060	985760	science de la vie éternelle voilà ce qu'il écrit croire que la mort est inévitable est malsain pour
985760	991280	l'être humain l'idée d'immortalité physique produit des sauts quantique dans la santé mentale et
991280	997580	physique la maîtrise du souffle est la clé de la santé du bonheur et de la sagesse la citadelle de
997580	1003640	la mort de la violence et de la guerre réside dans la croyance que la mort est inévitable voilà donc
1003640	1007840	c'est sur les enseignements de cette immense gourou que s'appuient tous les thérapeutes du
1007840	1023580	rebirth aujourd'hui la respiration peut guérir toutes les maladies connues de l'homme voilà et
1023580	1030680	Et d'ailleurs lui-même, Léonard Orr, il prétend s'être guéri de huit maladies mortelles grâce à ses techniques de respiration.
1030820	1037000	Bon, il est mort en 2019, mais j'imagine que c'était un choix, il avait sûrement plus envie de faire partie du club des immortels.
1037380	1043860	C'est moi ou le Rebirth, cette magnifique thérapie vraie et reconnue, ressemble plutôt à une immense secte ?
1043860	1049040	Alors je sais, Joyca ne prétend pas faire de l'information scientifique, c'est du pur divertissement.
1049040	1054560	Mais bon, avant d'exposer à ces millions d'abonnés des thérapies insolites qu'ils présentent comme vraies,
1054720	1057180	ça serait quand même pas mal de s'assurer que les thérapies en question
1057180	1060740	ne soient pas directement liées à de l'exercice illégal de la médecine,
1060980	1062300	voire même à des dérives sectaires.
1062440	1065520	Ou alors, par thérapie vraie et thérapie reconnue,
1065640	1069240	on entend par là « thérapie reconnue par l'URSSAF ».
1069240	1072600	Parce que oui, effectivement, tout le monde peut avoir un numéro SIRET,
1072780	1075740	être déclaré à l'URSSAF et vendre des prestations bidons.
1075940	1076460	Oui, tout le monde.
1076460	1081140	Si une thérapie vraie et reconnue, c'est une thérapie qui a un site internet et des clients,
1081300	1084760	bon bah effectivement, toutes les thérapies bidons sont vraies et reconnues.
1085000	1088360	Et puis tout, mais absolument tout, existe en matière de thérapie.
1088740	1090300	Chacun invente la sienne.
1090580	1093860	Imaginez un truc bidon, vous pouvez être sûr que ça existe déjà.
1094220	1096920	Regardez par exemple ce thérapeute américain.
1096920	1107040	Voilà ce qu'il écrit en description de la vidéo
1107040	1108840	Thérapie par les chatouilles ?
1108840	1110880	Non, c'est un travail énergétique
1110880	1111520	Eh oui
1111520	1116500	Le mec a un site internet sur lequel il nous présente la thérapie de libération cinétique
1116500	1120360	Et il s'en cache pas, c'est la thérapie qu'il a lui-même inventée dans son coin
1120360	1123960	Il utilise donc les chatouilles énergétiques pour harmoniser ses clients
1123960	1124820	Mais pas que
1124820	1129880	Comme vous pouvez l'admirer ici, il guérit aussi ses patients grâce à la gravité.
1135200	1136700	Tout existe.
1137060	1140580	Absolument toutes les thérapies possibles et imaginables existent.
1140740	1143380	Est-ce que c'est pour ça qu'elles sont vraies et reconnues ?
1143380	1145560	Ou qu'elles ont prouvé leur efficacité ?
1145560	1145880	Bah non.
1146080	1146420	C'est non.
1146600	1151800	Donc voilà, fuyez les musiciens qui prétendent guérir vos problèmes gynéco avec leurs notes de musique.
1151800	1156900	Fuyez les coachs bullshit qui vous demandent d'hyperventiler pour guérir vos traumatismes de nourrissons.
1157080	1164040	Voilà, c'était ma petite contre-publicité à la vidéo de Joyka, histoire de contextualiser un peu ces fameuses vraies thérapies,
1164140	1168000	parce que sa vidéo dure plus d'une heure et y'a pas une seule seconde de prévention.
1168380	1174800	Zéro nuance, aucun petit message qui appellerait à faire attention lorsqu'on s'aventure dans ce genre de pratiques, rien.
1175020	1180440	Par contre, en description, on retrouve les liens pour essayer la sonothérapie qui soigne l'infertilité
1180440	1182380	ou la dérive sectaire du Rebirth.
1182700	1184920	C'était Gémilgram, à très vite.
