start	end	text
185380	188360	que c'est une preuve que ce quelqu'un a bien écrit cette phrase.
188500	191600	Si je prends la tronche de Léonard de Vinci et que j'écris par-dessus
191600	193480	« Carglas répare, Carglas remplace »,
193480	197040	bon bah c'est pas automatiquement une preuve que de Vinci a prononcé ses paroles.
197040	200080	En théorie, quand on cite, on cite quoi ? On donne une référence.
200300	202100	Et là, bizarrement, on n'a pas de référence.
202240	206720	Et quand on fait quelques recherches, on voit que cette citation n'est reprise que par des blogs New Age
206720	209240	et des pages Facebook de développement personnel.
209500	211520	Et là aussi, on n'a jamais une seule référence.
211760	212280	Quel dommage.
212760	217240	Étrangement, cette citation n'apparaît pas dans le recueil des 1600 citations d'Einstein
217240	219160	compilées par l'université de Princeton.
219600	220040	Bizarre.
220260	223440	Mais on retrouve cette phrase un peu partout sur le web, dans plusieurs langues.
223540	226780	Et d'ailleurs, voilà la version originale de cette citation en anglais.
226780	244920	Mais quand on utilise certains outils pour fouiller dans les archives du web,
244920	248360	on retrouve la trace de cette citation, et oh surprise incroyable,
248480	251520	Einstein n'a jamais prononcé cette phrase.
251520	257620	on retrouve la première trace de cette citation sur une page web de 1996 du blog de Darryl Anka.
257740	259860	Et alors c'est pas n'importe quelle page web ce texte,
260020	264160	c'est la canalisation qu'a réalisé Darryl Anka avec un extraterrestre.
274800	276440	Donc c'est lui Darryl Anka.
276640	280540	Là il s'agit pas de Roger qui boit son verre de vin au comptoir du café du commerce.
280540	287460	C'est un type qui, depuis 40 ans, prétend communiquer avec un extraterrestre de la constellation d'Orion du nom de Bachar.
287680	296660	Et donc, cette phrase-là, c'est en fait l'extraterrestre Bachar qui l'a prononcé en 1996 à travers cet homme qui sert de canal de communication, bien sûr.
301340	307000	Donc là, Daryl Anka, il est en train de se connecter par télépathie avec Bachar, l'extraterrestre.
310540	333920	QI entre 160 et 190.
340540	347780	Donc je synthétise la situation : un mec qui tousse en fermant les yeux pour nous faire
347780	352540	croire qu'il entre en communication télépathique avec un extraterrestre de la constellation
352540	356540	d'Orion, c'est donc ça la p**** de source de ce médecin-pompier.
356540	362340	Ça résume absolument toute la rigueur et la profondeur de cette conférence, c'est
362340	366660	comme ça pour tout le reste, on cherche une caution scientifique pour légitimer un propos
366660	367660	bullshit.
367660	368960	Ça fait réfléchir ce genre de phrase.
369500	372880	Joe Dispenza, ça vous dit peut-être quelque chose, vous avez peut-être déjà entendu parler,
373020	377320	c'est un chercheur, auteur, conférencier qui fait beaucoup de conférences aux Etats-Unis,
377680	380960	en particulier, qui est médecin.
381220	385900	Allez, une autre caution scientifique, après Einstein, qui n'était en fait pas Einstein,
385900	390360	mais un alien, voici Joe Dispenza, qui est apparemment, entre autres, médecin,
390460	392180	d'après ce colonel médecin-pompier.
392340	395660	Alors en fait, non, Joe Dispenza, je le connais bien, il n'est pas du tout médecin,
395660	399560	il usurpe le statut de docteur, en fait il a fait trois ans d'études en chiropraxie,
399680	404720	et il est connu parce qu'il prétend utiliser la physique quantique pour reprogrammer son ADN,
404880	408920	pour se guérir, et voire même pour guérir ses clients du cancer.
409700	410720	Putain !
410720	416740	C'est un gigantesque charlatan qui commercialise des retraites spirituelles à 2500 euros la semaine
416740	419740	afin de vous faire voyager dans le champ quantique.
419880	421680	Et je vous ai promis quelque chose d'assez scientifique.
421680	426560	C'est aussi un adepte et un ancien cadre de la secte l'Ecole des Lumières de Ramtah,
426560	431800	une secte dirigée par cette femme qui prétend communiquer avec une entité lémurienne vieille
431800	433180	de 35 000 ans.
433180	438240	Et donc cet homme est aussi une source scientifique fiable dans cette conférence des sapeurs-pompiers
438240	439240	des Yvelines.
439240	445300	Bon allez, je vais vous épargner la partie sur l'ego psychanalytique et quantique,
445300	449440	on peut directement aller à la partie vulgarisation de la physique quantique.
449440	450960	Vous êtes dans une pièce dans le noir.
451540	454560	Vous prenez un euro, vous la lancez, vous la réceptionnez dans votre main.
455240	457040	Elle est sur pile ou elle est sur face ?
457040	458340	Eh bien, elle n'est ni sur l'un ni sur l'autre.
458440	461740	Parce que tant que vous ne la regardez pas, elle n'est ni sur pile ni sur face.
462120	465240	Il faut qu'il y ait un observateur pour que l'énergie devienne matière.
465660	466020	C'est non.
466020	470160	Donc on a le droit à un cours de vulgarisation de physique quantique absolument catastrophique.
470280	472340	Et en fait, c'est normal que ce soit une catastrophe.
472480	476680	Un pompier, un médecin, en théorie, ça ne prétend pas vulgariser les concepts de physique quantique.
476680	483900	D'autre part, la loi quantique de superposition, quant à elle, nous montre qu'on peut être dans deux états en même temps.
484000	488260	Alors je vais faire plaisir à Aurélie parce que je vais parler du chat de Schrödinger.
488520	492840	Allez, c'est parti pour la vulgarisation de l'expérience de pensée du chat de Schrödinger.
493220	496680	On peut se rendre compte qu'on peut donc être énervé et calme en même temps.
498740	505820	Bien sûr, bien sûr, c'est exactement ce qu'il faut déduire du chat de Schrödinger que le principe de superposition quantique est applicable à l'humain.
505820	511620	De la même façon, si je focalise sur l'être humain, que ce soit notre corps ou notre cerveau,
511840	517080	il est composé d'atomes, d'électrons, de neutrons, donc il peut répondre à la physique quantique.
517220	521340	C'est QFD, on est composé d'atomes et d'électrons, donc du coup, nous aussi on est quantique.
521500	522420	Évident, une évidence.
523620	528360	Allez, après ce magnifique cours théorique de physique quantique, vous prendrez bien un peu de délire ésotérique.
528720	534300	Toutes les particules sont liées, et c'est la loi quantique d'intrication dont se sont servis tous les prédicateurs,
534300	536940	toutes les religions aussi, même sans le savoir à l'époque,
537580	542320	pour dire qu'il y avait un tout, une pensée commune, un conscient commun.
542460	545580	Les religions connaissaient l'intrication quantique avant Alain Aspect,
545720	548840	bien sûr, ce n'est pas du tout du concordisme et ce n'est pas du tout délirant.
549080	551660	Je ne sais pas si vous connaissez les textes de la Kabbalah,
551800	555300	ce serait Dieu ou la source ou une information extérieure
555300	558380	qui aurait donné ces textes-là à Moïse.
558380	566820	Cette Kabbale contiendrait tous les secrets de la naissance de la vie, tous les secrets de l'univers.
566980	571380	Donc là, il y a un petit conditionnel, mais ne rêvez pas, le conditionnel ne va pas durer longtemps.
571620	576420	Tout ça pour vous expliquer que ce texte parlait d'un tout énergétique.
577140	579340	On parlait d'énergie il y a plus de 3000 ans.
579340	587980	Et disait que ce tout énergétique a fourni tout ce qui existe actuellement à la suite d'une explosion.
588380	594140	Je ne sais pas si ça vous rappelle quelque chose, mais on a décrit le Big Bang dans les années, en gros, 70.
595380	598360	Le Big Bang avait été décrit plus de 3000 ans avant Jésus-Christ.
599140	599880	Dans ce texte.
601040	602820	Il avait été décrit sur le plan énergétique.
603040	604340	On l'a décrit sur le plan planétaire.
605440	606400	Mais on n'a rien inventé.
608160	609480	Qu'est-ce qu'il faut commenter, là ?
609480	612240	Qu'est-ce qu'on peut rajouter ? C'est bon, c'est bon, ok, il est scientifique.
612420	613260	Non, rien inventé.
613520	615220	En fait, tout est dans la cabale.
618380	624320	Spoiler, il n'y a aucune trace de l'expression « un tout énergétique » dans les textes de la Kabbale.
624560	628380	La partie sur la création de l'univers parle surtout de lumière divine,
628580	630640	comme à peu près tous les textes religieux d'ailleurs.
630840	633300	Donc bref, c'est du concordisme et du délire ésotérique.
633700	637700	Bon, toutes ces fausses cautions scientifiques et tout ce délire faussement quantique,
637840	640380	pour nous dire quoi au final ? C'est quoi le fond de la conférence ?
640380	645320	GMK, un des principaux youtubeurs automobiles sur les automobiles de luxe et sportives.
645600	650340	Depuis tout petit, il se dit, moi, je ne serai pas comme mes parents.
651460	652260	Je m'en sortirai.
652420	657960	Depuis tout petit, il est persuadé et il fait tout pour grandir, gagner de l'argent.
658320	659860	GMK, actuellement, est milliardaire.
660140	665340	Mister Beast, le YouTuber le plus connu du monde, 329 millions de followers.
665700	668640	Mister Beast, il a décidé d'être connu quand il était gamin.
668640	670760	Il s'est dit, je vais tout faire pour être connu.
671140	674860	Un gamin qui, maintenant, a 26 ans, qui est le plus riche des YouTubers du monde.
676180	680280	Pourquoi ? Parce qu'il a vibré cette énergie-là depuis qu'il était gamin.
680640	683840	Anthony Robbins, qui est conférencier, auteur...
683840	685420	Le mec fait des conférences au Stade de France.
685640	689060	Les places pour être à l'avant de ces conférences sont facturées 15 000 euros.
689420	694160	C'est quelqu'un qui, depuis le début, sait et vibre l'énergie de la réussite.
694340	696880	Putain, mais que c'est con !
696880	698760	Mais qu'est-ce que c'est bête !
698760	703200	Tout ce préambule faussement scientifique et faussement quantique
703200	708800	pour nous rabâcher ces mêmes inepties à la con de lois d'attraction, de si tu vibres
708800	714620	quelque chose, tu l'auras, tes pensées créent ta réalité, tu peux manifester ta richesse
714620	720360	si tu te visualises riche, et si tu accordes tes vibrations sur l'énergie de la richesse.
720360	725580	Mais qu'est-ce que c'est con ! Mais qu'est-ce que c'est con ! Mais qu'est-ce que c'est
725580	726580	con !
726580	731920	les lois de l'attraction c'est un truc qui peut mais c'est le truc de dire en gros si
731920	737140	tu veux plus tu penses qu'il va arriver des choses positives et plus il arrive vraiment
737140	740820	des choses positives tu vois c'est vraiment un truc faut que tu te concentres que tu mets ton
740820	751180	attention sur le fait que tu es sûr que ce qui va arriver ça va être positif et le niveau de
751180	756740	la démonstration là avec les personnalités youtube heures waouh tu vois il ya des gens
756740	761920	très riches et quand ils étaient petits ils voulaient être très riche c'est bien la preuve
761920	767080	qu'il suffit de vibrer la richesse pour être riche voilà mon théorème est terminée c'est
767080	771700	si bête mais c'est si bête et je vous ai promis quelque chose d'assez scientifique bon et puis
771700	776560	en termes clairs on pourrait au final le traduire ce propos par vous avez ce que vous méritez bande
776560	781420	de plouc même pas quantique mais les mecs savent pas vibrer c'est bon si ça vous intéresse tony
781420	786340	robbins il prouve que toutes les neurosciences convergent vers le même principe vos croyances
786340	792680	crée votre réalité bien au delà du génome et du fonctionnement physiologique bien sûr si on veut
792680	796780	connaître l'état de la recherche en neurosciences on va pas se tourner vers les scientifiques qui
796780	800880	publie dans des revues mais plutôt vers le coach en développement personnel qui fait marcher les
800880	801880	les gens sur des braises.
801880	824000	Et puis avec cette affirmation : « Vos croyances créent votre réalité bien au-delà de votre
824000	827940	fonctionnement physiologique ». Bon bah donc ça veut dire logiquement que vos maladies
827940	829860	découlent principalement de vos croyances.
830200	831440	C'est un peu votre faute en fait.
831760	835100	Un malade du cancer, s'il croit dur comme fer qu'il ne s'en sortira pas,
835360	836120	il ne s'en sortira pas.
836600	840040	Cette conférence est catastrophique.
840380	842920	Si on se dit de toute façon je suis pauvre, j'habite en HLM
842920	844180	et de toute façon je n'aurai jamais de pognon,
844880	848960	comment voulez-vous que vous ayez de l'argent ?
848960	850020	Ce n'est pas possible.
850780	852280	Vous vibrez le manque d'argent.
852920	854260	Qui va venir vous en donner ?
854260	857280	Si on vit positif, on devient positif.
857280	860640	Si on vibre dollars, on devient milliardaire.
860920	862560	Chacun est maître de sa vie.
863060	869640	Chacun, de par la science quantique, doit avoir conscience que toutes les possibilités sont là.
870040	873680	Qu'est-ce que c'est con, mais qu'est-ce que c'est con, mais sérieux, ils n'ont pas le droit de faire ça.
873920	876640	Sans déconner, mais je n'ai jamais vu une conférence aussi con.
887280	889280	*bruit de téléphone*
889280	891280	*bruit de téléphone*
891280	893280	*bruit de téléphone*
893280	895280	Chapeur-pompier, j'écoute. Allô ?
895280	897280	Je viens de me blesser. Avec une hache.
897280	899280	*bruit de téléphone*
899280	901280	Je vous entends pas bien, monsieur.
901280	903280	Putain, je pisse le sang.
903280	905280	Monsieur, est-ce que vous avez eu des pensées négatives aujourd'hui ?
905280	907280	Quoi ?
907280	909280	Qu'est-ce que vous avez vibré ce matin, monsieur ?
909280	911280	Je veux pas paraître désagréable, monsieur, mais si vous vibrez des choses négatives,
911280	913280	à un moment, ça a des conséquences.
913280	915280	Je pisse le sang, je te dis.
915280	918660	Je vous envoie un JPEG de fleur de vie à appliquer immédiatement sur votre blé.
923400	924660	Monsieur ?
924660	926500	Allo, monsieur ?
926500	928340	Monsieur, vous savez qu'un jour, Einstein a dit
928340	931640	« Si tu vas mal, va mieux. »
931640	932760	Allo ?
932760	934080	Allo, allo, allo ?
934080	936880	Bon, monsieur, ne bougez pas, on vous envoie un coach de vie immédiatement.
942380	945000	Bon, ce genre de discours bullshit New Age,
945280	947560	C'est devenu commun sur Internet et sur les réseaux sociaux.
947760	953040	Si je prends le temps d'en faire une vidéo ici, c'est bien parce qu'on n'assiste pas à un live Instagram d'un thérapeute bullshit,
953040	959440	mais à une conférence donnée par un médecin pompier professionnel dans une putain de caserne de pompiers professionnels
959440	962380	à destination des pompiers professionnels d'Ile-de-France.
962560	963380	Quelle indignité.
963540	966940	Je sais pas, ça devrait être un temple de la rationalité, une caserne de pompiers.
967120	968380	Les mecs sont pas dans leur salon, là.
968480	973880	Tout le monde est en uniforme, tout se passe sur le lieu de travail, sur le temps de travail, sur fond public en plus.
973880	978300	On a des belles caméras professionnelles et un cadreur qui sont là pour immortaliser ce moment.
978460	979140	C'est juste fou.
979280	980520	Nous sommes sur le service public.
980660	981580	Franchement, c'est flippant.
981740	984500	Personne a tilté chez les pompiers que les propos tenus étaient aberrants.
984660	990680	Le truc a été planifié, validé en amont, publié avec fierté sur la chaîne YouTube officielle des pompiers des Yvelines,
990900	991900	sans que ça choque personne.
992100	994300	Normal, quoi. C'est les propos classiques d'un médecin, bah oui.
994380	996200	D'ailleurs, souvent, moi, mon généraliste me le dit, hein,
996240	1001600	Monsieur Milgram, arrêtez de tousser, vibrez la bonne santé et faites un saut quantique dans la réalité du bien-être
1001600	1004560	que vous devez manifester vous-même avec vos électrons quantiques.
1004760	1005520	Ça fera 30 euros.
1005720	1006300	Merci docteur.
1006400	1009000	Il y a plein de gens qui croient à plein de choses fausses et délirantes
1009000	1011160	dans les églises, dans les mosquées, dans les synagogues,
1011240	1012960	dans les temples bouddhistes ou les temples hindous.
1013140	1014880	Eh ben, grosse coupe, ils n'ont pas la permission
1014880	1017480	de venir nous raconter leur salade dans les hôpitaux,
1017600	1019260	dans les écoles ou dans les casernes de pompiers.
1019500	1022160	Bon, ben, ça devrait être pareil pour les fans de vibrations quantiques
1022160	1023680	et d'inepties faussement quantiques.
1024100	1025660	Pratiquez votre religion dans votre coin
1025660	1027520	et laissez le service public en dehors de tout ça.
1027720	1029960	Encore plus quand le but du service public en question,
1029960	1031460	c'est de sauver la vie des gens.
1031600	1033340	Alors là, zéro tolérance pour le bullshit.
1033680	1037660	Bon, merci à Laurent, l'abonné qui m'a envoyé la vidéo de la conférence.
1037860	1040100	J'ai pu la voir le jour où elle est sortie sur YouTube.
1040580	1043980	Évidemment, je n'incite personne à aller insulter le pompier en question.
1044220	1047300	C'est pas une bonne idée, allez plutôt fendre du bois, mais avec prudence.
1047540	1050740	Franchement, je pouvais pas ne pas parler de cette conférence quand je l'ai vue.
1050940	1054000	Une caserne de pompiers, c'était vraiment le dernier endroit
1054000	1056880	où je m'attendais à entendre du bullshit quantique New Age.
1057120	1060180	Donc bref, n'hésitez pas à partager la vidéo si elle vous semble utile.
1060180	1066280	Un très gros merci à tous mes tipeurs et patréonneurs qui me permettent de sortir des petites vidéos non sponsorisées régulièrement.
1066480	1067920	Merci encore pour votre soutien.
1068120	1073100	Et merci à Cyril de la chaîne YouTube Secrets de Monteur Pro qui a fait la voix du pompier au téléphone.
1073400	1076740	Si vous vous intéressez au montage, je vous conseille sincèrement d'aller voir sa chaîne.
1077140	1078260	Ses tutos sont des pépites.
1078640	1082900	C'était G1000G, je vais aller fendre encore 2-3 bûches et je vous dis à très vite.
1086260	1088180	En vrai je me suis pas blessé, c'est du cinéma.
1088180	1090260	de toute façon le cacao
1090260	1090940	va nous ten
1090940	1092740	l'effet spécial de malade
